,1. Buy & Hold,2. VT Buy & Hold,3. Risk Parity,4. RORO Crash,5. 2D Signal,6. RORO 2D,7. VT RORO 2D,8. Multi-Asset,9. Ensemble WFO,10. Full Stack
2019-01-25,1.0001587301587302,1.0001587301587302,1.0001587301587302,1.0049794693763996,1.0001587301587302,1.0049794693763996,1.0049794693763996,1.0049794693763996,1.0049794693763996,1.0049794693763996
2019-01-28,0.9920572817552296,0.9961348238163169,1.0006526198482195,0.996838972201078,0.9945353428824777,0.9998821781138036,1.0033874024124585,1.0054757396014213,1.003361719630332,1.0058381666703122
2019-01-29,0.9907406983824935,0.995525543854267,1.004809433499367,0.9955160429305289,0.9936587912607343,1.0000761306622399,1.0053045543365873,1.0096525889868821,1.0052656889906197,1.0099159249181413
2019-01-30,1.0064251042415637,1.0041015835841702,1.013858596451309,1.0112760472202789,1.0047175298563304,1.0119189986545027,1.0128994671193183,1.018745368670263,1.0128963583606885,1.0177537180484832
2019-01-31,1.0152639457280337,1.0088307751424008,1.017670700937336,1.0201574916941625,1.0109420649516478,1.0187514243936941,1.017471338562598,1.0225758474013409,1.017486299217426,1.0212029839608552
2019-02-01,1.0157528548648598,1.0091594370242514,1.0155698797619424,1.0206487573603862,1.0113309845784018,1.0182979989933436,1.0160179268725438,1.020464900322204,1.016041433250376,1.018981233256465
2019-02-04,1.022899125541462,1.013295692264668,1.0171941738459618,1.0278294728768642,1.0163597558008266,1.0226165045849827,1.0175008495460913,1.0220970234617082,1.017551527424234,1.0200464970111176
2019-02-05,1.0271868043017196,1.0158968614838022,1.021901613748724,1.0321378181378773,1.0193903412968996,1.0263413789552347,1.0206768782597162,1.0268271531030788,1.0207332408747876,1.0245175219335072
2019-02-06,1.0258329985909358,1.015096053410546,1.0163144109359368,1.0307774871185738,1.0184984125725416,1.0246661273010185,1.018723690191459,1.0212130201172056,1.0187832401618924,1.0190628412039326
2019-02-07,1.0160535611688613,1.0087926087008794,1.0143821513881268,1.0209509130609975,1.0117502515855326,1.0186468093320014,1.01572384884102,1.0192714471283388,1.0157424185206598,1.0171821187185237
2019-02-08,1.0172948634084678,1.0096265451882331,1.0154974794400942,1.022198198345302,1.012663661620165,1.0202924342174435,1.0176967824102077,1.0203921510326768,1.0177110930055384,1.018350913978496
2019-02-11,1.0178590536784236,1.0100380344687798,1.013790423840092,1.0227651079977704,1.0131050189677573,1.0200347232174094,1.016795065995385,1.0186768674688231,1.0168184504595716,1.0166062371939522
2019-02-12,1.0309479333585865,1.019205963307516,1.0182081317704965,1.0359170757395448,1.0222726845950454,1.02920185123066,1.023197309485263,1.0231158686372208,1.0232669207828662,1.021254188642042
2019-02-13,1.034295434411757,1.0215236382459403,1.0180994508683243,1.0392807116612333,1.0246448969337536,1.0310354868118232,1.0239212916153624,1.0230066638959106,1.0240080935976485,1.0211288902570528
2019-02-14,1.0320010327653686,1.0199130049817635,1.0208735559676894,1.0369752510582368,1.0231025940038259,1.0306647816061925,1.024772094687304,1.0257941401101227,1.0248359529478082,1.0241163965492495
2019-02-15,1.0432471975979216,1.028250569088454,1.029852177529967,1.048275622114484,1.0309557494431802,1.0392406128211564,1.031734970006186,1.0348160383961649,1.0318321031089706,1.0341957130423076
2019-02-19,1.0450526901074841,1.0296224150954882,1.0376973726529508,1.050089817051257,1.0322537968213037,1.042792293768917,1.036285001623791,1.0426990471567836,1.0363608676644618,1.043030494326691
2019-02-20,1.0471588889210481,1.0312675872547894,1.036693335239073,1.0522061676886412,1.0337592345140754,1.0440226510505815,1.0370600878358105,1.0416901703085328,1.0371472451621961,1.0418090563424263
2019-02-21,1.043435400430746,1.0282510784514705,1.0308884115274095,1.0484647320800962,1.0312353717530558,1.03942370319664,1.0321174753274343,1.0358572670146804,1.0322162227581304,1.0345554040443432
2019-02-22,1.0499045591376976,1.0336119758718014,1.0354405031934362,1.0549650719647385,1.0357599423219168,1.0447494407954445,1.0369807777474371,1.040431299644831,1.0370954676845758,1.0402811467437314
2019-02-25,1.0513336459816112,1.034839958857079,1.0343443903792617,1.056401046970287,1.0370144121046407,1.0460147982884729,1.037907064522343,1.039001452559718,1.0377904716142203,1.0388150843490738
2019-02-26,1.0505816711073481,1.0341568973382784,1.035454092858332,1.0556454475965742,1.0362726791779606,1.045266627762944,1.037294107332821,1.0403349681409146,1.0373854086760745,1.0402987710417853
2019-02-27,1.0501304025370868,1.0337251513579324,1.0304436157304455,1.055192003923473,1.035827556915509,1.044817642225099,1.0366153116498482,1.0342899254895837,1.0361950663006219,1.033099143748335
2019-02-28,1.0481743477612648,1.0318006858337205,1.027988340001211,1.0532265210142104,1.0338981437352626,1.0428714834109176,1.0346460837080862,1.0313284925977027,1.0339096074430776,1.0294042949909321
