Strategy,Max_Drawdown,Max_DD_Duration_Days,Avg_Drawdown,Time_In_Drawdown
Buy & Hold,-0.33717265260729684,479,-0.09125322052854654,0.9048780487804878
Rally Catcher,-0.3281966336615972,562,-0.10298122095511605,0.9426829268292682
Crash Hedger,-0.18199231514554287,278,-0.03335643494034715,0.8719512195121951
Dual Signal,-0.1598439781198164,127,-0.025072510861834908,0.8731707317073171
Adaptive Exposure,-0.3138004155590471,677,-0.13897581160692193,0.9317073170731708
Momentum Filter,-0.17728398456412572,202,-0.02667073275462318,0.8560975609756097
Asymmetric Conviction,-0.3059406191579736,581,-0.0894966044598578,0.9109756097560976
Ensemble (CGECD+HAR-RV),0.0,0,0.0,0.0
Threshold Optimized,-0.15984397811981627,73,-0.016840170055356096,0.8707317073170732
