Model,Rally_AUC,Crash_AUC,BCD_AUC,Mean_AUC,Role
CGECD Combined (Ours),0.7716352991371954,0.7108652103405514,0.7406272269011968,0.7412502547388734,ours
HAR-RV LR,0.6959523487207256,0.7633547008547008,0.728874815703517,0.7296535247877132,bench
SMA Vol LR,0.6821169145624352,0.670747269705603,0.676408203722252,0.6764320921340191,bench
Traditional RF,0.7355028269908552,0.6082992046533713,0.6688839844687892,0.6719010158221133,bench
Spectral Only RF,0.6204199353945546,0.6660798548094374,0.6428446316867595,0.643249895101996,ablation
Turbulence RF,0.646990473074732,0.5650574578771643,0.6046377361580668,0.6060239654759482,bench
